74;-31;-145;;
74;-31;-145;;von oben nach unten und zurück
74;-31;-145;;
74;-31;-145;;
74;-31;-145;;
73;-31;-145;;
73;-31;-145;;
73;-31;-145;;
73;-31;-145;;
73;-31;-145;;
73;-31;-145;;
73;-30;-145;;
73;-30;-145;;
73;-30;-145;;
73;-30;-145;;
73;-30;-145;;
73;-30;-145;;
73;-30;-145;;
73;-30;-145;;
73;-30;-145;;
73;-30;-145;;
73;-30;-146;;
73;-30;-146;;
73;-30;-146;;
73;-30;-146;;
73;-30;-146;;
73;-30;-146;;
73;-30;-146;;
73;-30;-146;;
73;-30;-146;;
73;-30;-146;;
73;-31;-146;;
73;-31;-146;;
73;-31;-146;;
73;-31;-145;;
74;-31;-145;;
73;-31;-145;;
73;-31;-146;;
74;-31;-146;;
74;-31;-146;;
74;-32;-146;;
73;-32;-146;;
73;-32;-146;;
74;-32;-146;;
74;-32;-146;;
74;-32;-146;;
74;-32;-146;;
74;-32;-145;;
74;-32;-145;;
74;-32;-145;;
74;-32;-145;;
75;-32;-145;;
75;-32;-145;;
75;-32;-145;;
76;-32;-145;;
76;-33;-145;;
76;-33;-145;;
76;-34;-145;;
76;-34;-145;;
77;-34;-145;;
78;-35;-145;;
78;-35;-145;;
78;-35;-145;;
78;-36;-145;;
79;-36;-145;;
80;-36;-145;;
81;-36;-145;;
82;-36;-145;;
83;-36;-145;;
84;-37;-144;;
85;-37;-144;;
86;-38;-144;;
86;-39;-144;;
87;-40;-144;;
89;-41;-145;;
90;-42;-145;;
91;-43;-145;;
92;-45;-145;;
93;-47;-145;;
94;-48;-145;;
95;-50;-145;;
96;-52;-145;;
96;-53;-146;;
98;-54;-146;;
100;-56;-146;;
100;-57;-146;;
100;-59;-146;;
101;-60;-146;;
103;-62;-146;;
104;-64;-146;;
104;-65;-146;;
104;-66;-146;;
104;-68;-146;;
105;-69;-146;;
107;-70;-147;;
108;-72;-147;;
108;-73;-147;;
108;-75;-147;;
108;-76;-147;;
109;-77;-147;;
110;-78;-147;;
110;-79;-147;;
111;-80;-147;;
111;-82;-147;;
111;-83;-147;;
111;-84;-147;;
111;-85;-147;;
111;-86;-147;;
111;-88;-147;;
111;-89;-147;;
111;-90;-147;;
111;-91;-147;;
112;-92;-148;;
113;-93;-148;;
113;-94;-148;;
113;-94;-148;;
114;-95;-148;;
115;-96;-149;;
115;-97;-149;;
116;-98;-149;;
116;-99;-149;;
115;-100;-149;;
114;-101;-149;;
114;-103;-149;;
113;-104;-148;;
112;-105;-148;;
112;-106;-148;;
112;-106;-149;;
113;-107;-149;;
114;-108;-149;;
113;-109;-149;;
113;-110;-149;;
114;-111;-150;;
115;-112;-150;;
115;-113;-150;;
115;-114;-150;;
115;-115;-150;;
114;-116;-150;;
115;-116;-151;;
116;-117;-151;;
116;-117;-151;;
117;-118;-152;;
117;-118;-152;;
118;-119;-152;;
118;-119;-152;;
118;-120;-153;;
118;-121;-153;;
119;-121;-153;;
120;-122;-153;;
121;-122;-153;;
121;-123;-154;;
121;-124;-154;;
122;-125;-154;;
122;-126;-154;;
123;-127;-154;;
123;-128;-154;;
124;-129;-155;;
125;-130;-155;;
125;-130;-155;;
126;-131;-156;;
126;-131;-156;;
127;-132;-156;;
128;-132;-156;;
128;-132;-157;;
129;-133;-157;;
129;-134;-157;;
129;-135;-157;;
129;-135;-157;;
129;-135;-157;;
130;-136;-157;;
130;-136;-158;;
131;-136;-158;;
132;-137;-158;;
132;-137;-159;;
131;-138;-159;;
132;-138;-159;;
132;-138;-159;;
132;-138;-159;;
